Date,Price,Open,High,Low,Vol.,Change %
11/10/2023,186.40,183.97,186.57,183.53,66.18M,2.19%
11/13/2023,184.80,185.82,186.03,184.21,41.97M,-0.86%
11/14/2023,187.44,187.70,188.11,186.30,59.71M,1.43%
11/15/2023,188.01,187.85,189.50,187.78,53.23M,0.30%
11/16/2023,189.71,189.57,190.96,188.65,53.99M,0.90%
11/17/2023,189.69,190.25,190.38,188.57,50.94M,-0.01%
11/20/2023,191.45,189.89,191.90,189.88,46.54M,0.93%
11/21/2023,190.64,191.41,191.52,189.74,38.13M,-0.42%
11/22/2023,191.31,191.49,192.93,190.82,39.63M,0.35%
11/24/2023,189.97,190.87,190.90,189.25,24.04M,-0.70%
11/27/2023,189.79,189.92,190.67,188.90,40.40M,-0.09%
11/28/2023,190.40,189.78,191.08,189.40,37.79M,0.32%
11/29/2023,189.37,190.90,192.09,188.97,37.94M,-0.54%
11/30/2023,189.95,189.84,190.32,188.19,47.99M,0.31%
12/01/2023,191.24,190.33,191.56,189.23,45.70M,0.68%
12/04/2023,189.43,189.98,190.05,187.45,43.07M,-0.95%
12/05/2023,193.42,190.21,194.40,190.18,65.35M,2.11%
12/06/2023,192.32,194.45,194.76,192.11,40.90M,-0.57%
12/07/2023,194.27,193.63,195.00,193.59,47.34M,1.01%
12/08/2023,195.71,194.20,195.99,193.67,53.41M,0.74%
12/11/2023,193.18,193.11,193.49,191.42,60.78M,-1.29%
12/12/2023,194.71,193.08,194.72,191.72,51.29M,0.79%
12/13/2023,197.96,195.09,198.00,194.85,67.76M,1.67%
12/14/2023,198.11,198.02,199.62,196.16,65.96M,0.08%
12/15/2023,197.57,197.53,198.40,197.00,128.54M,-0.27%
12/18/2023,195.89,196.09,196.63,194.39,55.75M,-0.85%
12/19/2023,196.94,196.16,196.95,195.89,40.23M,0.54%
12/20/2023,194.83,196.90,197.68,194.83,50.13M,-1.07%
12/21/2023,194.68,196.10,197.08,193.50,44.08M,-0.08%
12/22/2023,193.60,195.18,195.41,192.97,37.15M,-0.55%
12/26/2023,193.05,193.61,193.89,192.83,28.81M,-0.28%
12/27/2023,193.15,192.49,193.50,191.09,47.90M,0.05%
12/28/2023,193.58,194.14,194.66,193.17,33.83M,0.22%
12/29/2023,192.53,193.90,194.40,191.73,42.67M,-0.54%
01/02/2024,185.64,187.15,188.44,183.88,79.82M,-3.58%
01/03/2024,184.25,184.22,185.88,183.43,56.44M,-0.75%
01/04/2024,181.91,182.15,183.09,180.88,70.70M,-1.27%
01/05/2024,181.18,181.99,182.76,180.17,62.38M,-0.40%
01/08/2024,185.56,182.09,185.60,181.50,59.14M,2.42%
01/09/2024,185.14,183.92,185.15,182.73,42.84M,-0.23%
01/10/2024,186.19,184.35,186.40,183.92,45.90M,0.57%
01/11/2024,185.59,186.54,187.05,183.62,49.13M,-0.32%
01/12/2024,185.92,186.06,186.74,185.19,40.48M,0.18%
01/16/2024,183.63,182.16,184.26,180.93,65.44M,-1.23%
01/17/2024,182.68,181.27,182.93,180.30,47.19M,-0.52%
01/18/2024,188.63,186.09,189.14,185.83,77.40M,3.26%
01/19/2024,191.56,189.33,191.95,188.82,68.90M,1.55%
01/22/2024,193.89,192.30,195.33,192.26,60.13M,1.22%
01/23/2024,195.18,195.02,195.75,193.83,42.20M,0.67%
01/24/2024,194.50,195.42,196.38,194.34,53.46M,-0.35%
01/25/2024,194.17,195.22,196.27,193.11,54.53M,-0.17%
01/26/2024,192.42,194.27,194.76,191.94,44.59M,-0.90%
01/29/2024,191.73,192.01,192.20,189.58,46.89M,-0.36%
01/30/2024,188.04,190.94,191.80,187.47,55.27M,-1.92%
01/31/2024,184.40,187.04,187.10,184.35,54.83M,-1.94%
02/01/2024,186.86,183.99,186.95,183.82,53.49M,1.33%
02/02/2024,185.85,179.86,187.33,179.25,102.55M,-0.54%
02/05/2024,187.68,188.15,189.25,185.84,68.93M,0.98%
02/06/2024,189.30,186.86,189.31,186.77,43.49M,0.86%
02/07/2024,189.41,190.64,191.05,188.61,51.40M,0.06%
02/08/2024,188.32,189.38,189.54,187.35,39.27M,-0.58%
02/09/2024,188.85,188.65,189.99,188.00,45.16M,0.28%
02/12/2024,187.15,188.41,188.67,186.79,40.94M,-0.90%
02/13/2024,185.04,185.77,186.21,183.51,54.12M,-1.13%
02/14/2024,184.15,185.32,185.53,182.44,53.19M,-0.48%
02/15/2024,183.86,183.55,184.49,181.35,62.20M,-0.16%
02/16/2024,182.31,183.42,184.85,181.66,49.75M,-0.84%
02/20/2024,181.56,181.79,182.43,180.00,49.38M,-0.41%
02/21/2024,182.32,181.94,182.89,180.66,39.10M,0.42%
02/22/2024,184.37,183.48,184.96,182.46,52.29M,1.12%
02/23/2024,182.52,185.01,185.04,182.23,45.12M,-1.00%
02/26/2024,181.16,182.24,182.76,180.65,40.87M,-0.75%
02/27/2024,182.63,181.10,183.92,179.56,54.32M,0.81%
02/28/2024,181.42,182.51,183.12,180.13,48.95M,-0.66%
02/29/2024,180.75,181.27,182.57,179.53,135.28M,-0.37%
03/01/2024,179.66,179.55,180.53,177.38,73.56M,-0.60%
03/04/2024,175.10,176.15,176.90,173.79,80.08M,-2.54%
03/05/2024,170.12,170.76,172.04,169.62,93.55M,-2.84%
03/06/2024,169.12,171.06,171.24,168.68,66.98M,-0.59%
03/07/2024,169.00,169.15,170.73,168.49,69.37M,-0.07%
03/08/2024,170.73,169.00,173.70,168.94,76.27M,1.02%
03/11/2024,172.75,172.94,174.38,172.05,60.14M,1.18%
03/12/2024,173.23,173.15,174.03,171.01,59.55M,0.28%
03/13/2024,171.13,172.77,173.18,170.76,51.95M,-1.21%
03/14/2024,173.00,172.91,174.31,172.05,72.57M,1.09%
03/15/2024,172.62,171.17,172.62,170.29,119.99M,-0.22%
03/18/2024,173.72,175.57,177.71,173.52,75.08M,0.64%
03/19/2024,176.08,174.34,176.60,173.03,54.85M,1.36%
03/20/2024,178.67,175.72,178.67,175.09,52.41M,1.47%
03/21/2024,171.37,177.05,177.49,170.84,106.18M,-4.09%
03/22/2024,172.28,171.76,173.05,170.06,71.16M,0.53%
03/25/2024,170.85,170.37,171.94,169.46,54.21M,-0.83%
03/26/2024,169.71,170.01,171.41,169.65,57.22M,-0.67%
03/27/2024,173.31,170.30,173.58,170.14,59.11M,2.12%
